river,fpz,description,site,id,species,feeding,tl,d15N,d13C,per_N,per_C,C_N,tp
PEP,1,"Lake Pepin below Lake City, MN",PEP1,132,Silver redhorse,invertivore,515,16.43175512,-27.24147483,11.83195081,49.10949597,4.150583177,2.811383534
PEP,1,"Lake Pepin below Lake City, MN",PEP1,133,Shorthead Redhorse,invertivore,490,15.51721123,-26.9728839,13.23738775,45.9394332,3.470430425,2.542400037
PEP,1,"Lake Pepin below Lake City, MN",PEP1,134,Bigmouth Buffalo,planktivore,590,17.34870318,-30.08248199,7.20875172,52.22306103,7.244397236,3.081074141
PEP,1,"Lake Pepin below Lake City, MN",PEP1,135,Drum,invertivore,350,15.901414,-26.50983785,13.80062153,46.76525957,3.388634306,2.655400852
PEP,1,"Lake Pepin below Lake City, MN",PEP1,136,Largemouth Bass,,225,17.4095306,-27.70218901,13.46198001,44.57874247,3.311455108,3.098964558
PEP,1,"Lake Pepin below Lake City, MN",PEP1,137,Drum,invertivore,295,16.84362118,-26.41714269,13.21522768,44.33631392,3.35494136,2.932520613
PEP,1,"Lake Pepin below Lake City, MN",PEP1,138,Silver redhorse,invertivore,565,14.90064094,-26.9531703,13.66058089,46.24476513,3.385270766,2.361055837
PEP,1,"Lake Pepin below Lake City, MN",PEP1,139,Walleye,piscivore,480,18.42895712,-27.94085256,13.61473237,44.49820693,3.26838646,3.398795887
PEP,1,"Lake Pepin below Lake City, MN",PEP1,140,Walleye,piscivore,470,18.76597812,-28.02425188,13.21640958,44.89979374,3.397276201,3.497919712
PEP,1,"Lake Pepin below Lake City, MN",PEP1,141,Smallmouth Bass,piscivore,355,18.38207139,-26.96824907,13.93737694,45.27267653,3.248292467,3.385005968
PEP,1,"Lake Pepin below Lake City, MN",PEP1,142,Bigmouth Buffalo,planktivore,445,16.91744478,-30.55505995,8.549152339,55.13600232,6.449294635,2.954233435
PEP,1,"Lake Pepin below Lake City, MN",PEP1,143,Smallmouth Bass,piscivore,355,18.2218785,-26.76450746,14.19958909,47.38702867,3.337211265,3.337890412
PEP,1,"Lake Pepin below Lake City, MN",PEP1,144,Smallmouth Bass,piscivore,350,18.2380593,-26.94784218,14.23014398,46.36831281,3.258457038,3.342649471
PEP,1,"Lake Pepin below Lake City, MN",PEP1,145,Black Crappie,invertivore,250,16.6715556,-28.29366562,14.72506932,47.29886976,3.21213223,2.881913088
PEP,1,"Lake Pepin below Lake City, MN",PEP1,146,Bluegill,invertivore,160,15.1475265,-26.53352094,14.63577608,46.49213266,3.176608633,2.433669235
PEP,1,"Lake Pepin below Lake City, MN",PEP1,152,Drum,invertivore,280,15.3710238,-26.88121549,14.6150507,44.61527102,3.052693552,2.499403735
PEP,1,"Lake Pepin below Lake City, MN",PEP1,153,Smallmouth Buffalo,detritivore,430,16.123431,-28.60491515,13.2208663,48.73005183,3.685844083,2.720699971
PEP,1,"Lake Pepin below Lake City, MN",PEP1,154,Northern Pike,piscivore,765,18.9004608,-27.07636285,14.86219994,46.04106113,3.097863124,3.537473441
PEP,1,"Lake Pepin below Lake City, MN",PEP1,155,Northern Pike,piscivore,660,16.17091648,-25.647821,13.932308,45.42104788,3.260123727,2.734666288
WIN,1,closed backwater Winona,WIN1,101,bigmouth buffalo,planktivore,621,13.71199109,-29.36269819,10.1063949,49.90146636,4.937612953,2.890580281
WIN,1,closed backwater Winona,WIN1,102,smallmouth buffalo,detritivore,554,14.26562446,-30.47226603,11.68655446,49.5620874,4.240949507,3.053413624
WIN,1,closed backwater Winona,WIN1,103,smallmouth bass,piscivore,300,18.39436983,-26.76393877,13.35904886,43.07546849,3.224441272,4.267750498
WIN,1,closed backwater Winona,WIN1,104,drum,invertivore,304,14.69740494,-27.93101968,12.90668436,43.6321289,3.380583865,3.180407885
WIN,1,closed backwater Winona,WIN1,105,drum,invertivore,310,16.62628028,-26.58046041,13.23132919,45.77658676,3.459711879,3.74772416
WIN,1,closed backwater Winona,WIN1,106,bigmouth buffalo,planktivore,542,14.63738598,-31.22021242,11.17377794,52.19537058,4.671237503,3.162755248
WIN,1,closed backwater Winona,WIN1,107,drum,invertivore,290,15.58038935,-26.56707513,13.99884937,44.99015024,3.213846299,3.440109181
WIN,1,closed backwater Winona,WIN1,108,smallmouth buffalo,detritivore,520,16.89524695,-30.22286905,8.308565872,54.56013576,6.566733249,3.826832006
WIN,1,closed backwater Winona,WIN1,109,bowfin,piscivore,610,14.49721712,-25.16221707,13.86231116,45.76259095,3.301223758,3.121529113
WIN,1,closed backwater Winona,WIN1,110,bluegill/Lepomis,invertivore,180,16.16406029,-25.68491064,13.08207984,41.87241541,3.200746052,3.611777105
WIN,1,closed backwater Winona,WIN1,111,green sunfish/Lepomis,invertivore,170,16.24652887,-26.56468202,13.57105929,44.33455341,3.266845459,3.636032569
WIN,1,closed backwater Winona,WIN1,112,bluegill/Lepomis,invertivore,187,16.74429683,-25.25555882,13.75032945,44.89675466,3.265140287,3.782434912
WIN,1,closed backwater Winona,WIN1,113,bluegill/Lepomis,invertivore,172,14.2669141,-29.67326899,13.90279992,45.33551144,3.260890734,3.053792932
WIN,1,closed backwater Winona,WIN1,114,spotted sucker,invertivore,187,13.22780144,-31.3685388,13.19535411,42.15561227,3.194731412,2.748171561
